,,,Date of load 2023 04 05,,,,,,,,,,,,,,,,,,
,NO.,CODE,DESCRIPTION,EURO,COLLI,KG,VALUE,,,,,,,,,,,,,,
3352,,,Traking,"6,2",10,233,1444,,,,,,,,,,,,,,
3352,,,Convers,4,4,109,436,,,,,,,,,,,,,,
3686,,,Toys,"1,5",6,120,180,,,,,,,,,,,,,,
3315,,,Militare,3,1,44,132,,,,,,,,,,,,,,
3679,,,Ex woman xl<,"2,7",7,361,974,,,,,,,,,,,,,,
3711,,,Pijiama,"2,7",4,69,186,,,,,,,,,,,,,,
3353,,,"Blanket+спальник
 и",3,6,164,492,,,,,,,,,,,,,,
3714,,,Sliper cream,3,2,40,120,,,,,,,,,,,,,,
3684,,,Sport pants,"1,5",2,50,75,,,,,,,,,,,,,,
3682,,,Polo,"1,5",7,209,313,,,,,,,,,,,,,,
3692,,,Flice,"1,5",3,119,178,,,,,,,,,,,,,,
3690,,,Sweamwear,"1,7",2,60,"1,2",,,,,,,,,,,,,,
3680,,руч.работа,Ricamato,3,4,88,264,,,,,,,,,,,,,,
3687,,,Мотки,"2,7",5,89,240,,,,,,,,,,,,,,
3681,,под.плав,Sub,"2,7",3,66,178,,,,,,,,,,,,,,
3712,,мех,Pellice,"3,2",1,22,70,,,,,,,,,,,,,,
3688,,вело,Bici,2,6,146,292,,,,,,,,,,,,,,
3726,,,,,,"27,6",,,,,,,,,,,,,,,
3372,,,,,,"22,5",,,,,,,,,,,,,,,
3631,,,,,,"19,8",,,,,,,,,,,,,,,
3398,,,,,,"23,8",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,австрия остаток,,,,,,,,,,,,,,,,,,
3622,140,,,,,"34,8",,,,,,,,,,,,,,,
3145,,,,,,"51,2",,,,,,,,,,,,,,,
3169,,,,,,36,,,,,,,,,,,,,,,
3408,,,,,,"59,2",,,,,,,,,,,,,,,
3632,,,,,,"17,8",,,,,,,,,,,,,,,
3650,223,,,,,"33,2",,,,,,,,,,,,,,,
3062,,,,,,"33,7",,,,,,,,,,,,,,,
3206,,,,,,"9,1",,,,,,,,,,,,,,,
3041,,,,,,"7,3",,,,,,,,,,,,,,,
3068,,,,,,19,,,,,,,,,,,,,,,
3194,,,,,,"19,5",,,,,,,,,,,,,,,
3189,,,,,,"30,7",,,,,,,,,,,,,,,
3218,,,,,,"4,1",,,,,,,,,,,,,,,
3662,,,,,,"53,6",,,,,,,,,,,,,,,
3054,,,,,,"28,2",,,,,,,,,,,,,,,
3014,,,,,,"35,1",,,,,,,,,,,,,,,
3676,,,,,,"59,8",,,,,,,,,,,,,,,
3064,,,,,,"34,9",,,,,,,,,,,,,,,
3613,,,,,,"24,8",,,,,,,,,,,,,,,
3032,,,,,,"10,2",,,,,,,,,,,,,,,
3617,,,,,,"14,8",,,,,,,,,,,,,,,
3675,,,,,,"17,5",,,,,,,,,,,,,,,
3267,,,,,,"24,2",,,,,,,,,,,,,,,
3039,,,,,,"5,6",,,,,,,,,,,,,,,
3038,,,,,,"31,3",,,,,,,,,,,,,,,
3292,,,,,,"38,8",,,,,,,,,,,,,,,
3023,,,,,,"35,4",,,,,,,,,,,,,,,
3115,,,,,,"135,6",,,,,,,,,,,,,,,
3025,,,,,,"31,2",,,,,,,,,,,,,,,
3108,,,,,,"35,1",,,,,,,,,,,,,,,
3003,,,,,,"24,8",,,,,,,,,,,,,,,
3623,,,,,,"25,8",,,,,,,,,,,,,,,
3012,,,,,,"21,2",,,,,,,,,,,,,,,
3241,,,,,,"29,6",,,,,,,,,,,,,,,
3620,,,,,,"9,5",,,,,,,,,,,,,,,
3233,,,,,,35,,,,,,,,,,,,,,,
3705,,,,,,60,,,,,,,,,,,,,,,
3657,,,,,,68,,,,,,,,,,,,,,,
3166,,,,,,175,,,,,,,,,,,,,,,
3632,,,,,,"39,5",,,,,,,,,,,,,,,
3651,,,,,,25,,,,,,,,,,,,,,,
3182,,,,,,10,,,,,,,,,,,,,,,
3199,,,,,,"17,5",,,,,,,,,,,,,,,
3722,,,,,,"46,5",,,,,,,,,,,,,,,
3110,,,,,,"31,4",,,,,,,,,,,,,,,
3082,,,,,,"88,4",,,,,,,,,,,,,,,
3185,,,,,,"94,2",,,,,,,,,,,,,,,
3254,,,,,,"98,7",,,,,,,,,,,,,,,
3063,,,,,,"100,1",,,,,,,,,,,,,,,
3020,,,,,,50,,,,,,,,,,,,,,,
3607,,,,,,125,,,,,,,,,,,,,,,
3608,,,,,,25,,,,,,,,,,,,,,,
3135,,,,,,"155,9",,,,,,,,,,,,,,,
3276,,,,,,"174,7",,,,,,,,,,,,,,,
3044,,,,,,"243,8",,,,,,,,,,,,,,,
3677,,,,,,"149,5",,,,,,,,,,,,,,,
3128,231.,,,"4,2",,"122,6",,,,,,,,,,,,,,,
3242,,,,,,"239,8",,,,,,,,,,,,,,,
3216,,,,,,100,,,,,,,,,,,,,,,
3665,,,,,,"104,9",,,,,,,,,,,,,,,
3051,,,,,,"314,5",,,,,,,,,,,,,,,
3160,,,,,,"278,1",,,,,,,,,,,,,,,
3673,,,,,,"209,7",,,,,,,,,,,,,,,
3117,,,,,,100,,,,,,,,,,,,,,,
3670,,,,,,"523,9",,,,,,,,,,,,,,,
3668,,,,,,"315,5",,,,,,,,,,,,,,,
